Ticker,Shares
SO,1212.0307842460445
T.TO,7961.7594562569175
PEP,244.92256834616376
TD,1320.0881283035988
COST,66.17917282659565
ABBV,155.95201223007635
RY.TO,721.2210426586072
LOW,156.64838190075847
CMCSA,1343.7172308657764
AW.TO,3118.0595471932033
